Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Oberland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
Liste;10;BDP die Unabhängigen
Kürzel / Sigle;BDP die Unabhängigen;
Sitze / Sièges;0;
Kandidatenstimmen /Total des suffrages nominatifs;7304;
Zusatzstimmen / Suffrages complémentaires;1501;
Parteistimmen / Total des suffrages de parti;8805;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Stimmen haben erhalten/Ont obtenu des suffrages
1;Eberhart;Peter;1955;Drogist HF, Unternehmer;Aeschi b. Spiez;1'550;
2;Streich;Mathias;1969;Chefarzt;Unterseen;1'369;
3;von Niederhäusern;Ueli;1954;Unternehmer;Erlenbach;1'030;
4;Ernst;Peter;1970;Kleinunternehmer, Landwirt;Oberried;981;
5;Caluori;Andreas Carl;1963;Unternehmer, Berater;Ringgenberg;712;
6;Schmied;Paul;1968;Wirtschaftsinformatiker;Bönigen;603;
7;Jost;Erika;1958;Treuhänderin, Mediatorin;Leissigen;601;
8;Riesen di Fede;Regula;1967;Unternehmerin, Touristikerin;Burgistein;458;

Liste;11;FDP.Die Liberalen Berner Oberland Ost
Kürzel / Sigle;FDP Liste Ost;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;18692;
Zusatzstimmen / Suffrages complémentaires;4250;
Parteistimmen / Total des suffrages de parti;22942;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Flück;Peter;1957;Unternehmer, dipl. Sanitärplaner;Interlaken;4'666;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Aeschimann;Peter;1951;Geschäftsführer aeschimann automationssysteme ag;Matten b. Interlaken;2'424;
3;Schläppi;Emanuel;1960;Geschäftsleitung Autoverkehr Grindelwald AG;Grindelwald;1'921;
4;Portmann;Simone;1984;Dr., Mitglied VR Apotheke Dr. Portmann Interlaken;Matten b. Interlaken;1'314;
5;Geringer;Olivier;1984;Jurist;Matten b. Interlaken;948;
6;Zingrich;Markus;1981;Unternehmer Holzbau, Spenglerei;Wilderswil;914;
7;Guinand;Marcel;1959;Bauverwalter Gemeinde Innertkirchen;Innertkirchen;892;
8;Fuchs;Oliver;1976;Director Marketing & Sales, Wirtschaftsinformatiker;Interlaken;844;
9;Willi;Adrian;1997;Kaufmann, BMS;Hofstetten b. Brienz;813;
10;Betschart;Christoph;1975;El. Ing. HTL, EMBA;Interlaken;744;
11;Dübendorfer;Thomas;1964;Hotelier Hotel Bellevue Interlaken;Interlaken;744;
