Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Mittelland-Süd
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
6;Schenk;Sarina;1993;Sozialarbeiterin i.A.;Gysenstein;565;
7;Brülhart;Jasmin;1986;Lehrerin;Münsingen;508;
8;Rothen;Christoph;1991;Projektmanager Altlasten & Gebäudeschadstoffe;Liebefeld;499;
9;Fiechter;Stefan;1996;Elektroniker EFZ;Konolfingen;405;
10;Oestreicher;Yves;1996;Fachmann Information und Dokumentation EFZ, Strassenbauer EFZ;Münsingen;389;
11;Buri;Andreas;1999;Kaufmann ÖV in Ausbildung;Konolfingen;372;
12;Gilomen;Roger;1986;Senior Property Manager;Liebefeld;310;
13;Rüegsegger;Delia Sara;1990;Anwaltsassistentin;Wichtrach;297;
14;Blöchlinger;Tim;1992;Student Kommunikationswissenschaft und Medienforschung;Niederwangen;295;
15;Coats;Samuel;1995;Büropraktiker;Niederwangen;249;

Liste;7;SVP Mittelland-Süd, Liste West
Kürzel / Sigle;SVP West;
Sitze / Sièges;3;
Kandidatenstimmen /Total des suffrages nominatifs;88383;
Zusatzstimmen / Suffrages complémentaires;10893;
Parteistimmen / Total des suffrages de parti;99276;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Rüegsegger;Hans Jörg;1970;Landwirt mit HF, Präsident Berner Bauern Verband;Riggisberg;6'737;x
2;Aebischer;Verena;1989;Gemeindeverwalterin;Riffenmatt;6'125;x
3;Augstburger;Ueli;1959;Meisterlandwirt, Betriebsleiter;Gerzensee;6'086;x
Stimmen haben erhalten/Ont obtenu des suffrages
4;Burren;Andreas;1961;Landwirt;Lanzenhäusern;6'053;x
5;Marti;Benjamin;1970;Gemeindepräsident;Belp;4'752;
6;Lauper;Bernhard;1976;Geschäftsführer;Gasel;4'415;
7;Moser;Hans;1957;Meisterlandwirt;Mittelhäusern;4'415;
8;Fankhauser;Gottfried;1971;Landwirt, Gemeinderat;Rüschegg-Heubach;4'256;
9;Zbinden;Reto;1985;Kaufmann;Mittelhäusern;4'123;
10;Bürki;Michael;1978;Gemeindepräsident;Riggisberg;4'105;
11;Lehmann;Stefan;1967;Geschäftsführer Landi Schw.wasser;Niederscherli;4'043;
12;Gilgen;Kathrin;1971;Floristin, Bäuerin;Oberwangen;3'952;
13;Schmied;Nathanael;1996;Zimmermann;Guggisberg;3'827;
14;With;Jean-Michel;1966;Vers'betriebswirt DVA, Gemeinderat;Belp;3'801;
15;Peter;Christoph;1976;Agronom, Lehrer;Herbligen;3'756;
16;Nacht;Heinz;1961;Kaminfegermeister;Schliern;3'732;
17;Röthlisberger;Alex;1972;Betriebsmechaniker;Noflen;3'671;
18;Huguenin;Liliane;1963;Geschäftsführerin KMU;Wabern;3'611;
19;Schütz;Inge;1950;Lic.oec.HHS;Belpberg;3'559;
20;Siegfried;Fiona;1997;Fachfrau Hauswirtschaft;Kirchdorf;3'364;

Liste;8;SVP Mittelland-Süd, Liste Ost
Kürzel / Sigle;SVP Ost;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;48823;
Zusatzstimmen / Suffrages complémentaires;6781;
Parteistimmen / Total des suffrages de parti;55604;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Müller;Moritz;1964;eidg.dipl. Hufschmied, Gde.präs.;Bowil;6'572;x
2;Moser;Werner;1956;Meisterlandwirt;Landiswil;5'959;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Riem;Katja;1996;Winzerin EFZ, Landwirtin;Kiesen;5'164;
4;Baumann;Urs;1968;eidg.dipl. El'installateur, Unternehmer;Münsingen;5'094;
5;Gurtner;Miriam;1980;Historikerin, Gemeinderätin;Konolfingen;4'744;
6;Gertsch;Reto;1983;dipl. Betriebswirtschafter, Gemeinderat;Münsingen;4'729;
7;Aeschlimann;Hanspeter;1954;Unternehmer, Gemeinderat;Walkringen;4'464;
8;Brechbühl;Patric;1979;Lokführer, Mechaniker;Bowil;4'296;
9;Waber;Selina;1994;Studentin Mathematik Zürich;Kiesen;3'995;
10;Beugger;Yannik;1997;Kaufmann EFZ;Wichtrach;3'806;

Liste;9;Evangelische Volkspartei
Kürzel / Sigle;EVP;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;32081;
Zusatzstimmen / Suffrages complémentaires;2496;
Parteistimmen / Total des suffrages de parti;34577;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Kipfer;Hans;1966;dipl. Hotelier-Restaurateur HF, Gastwirt Schlossgut Münsingen;Münsingen;3'349;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Hiltbrunner;Christina;1979;Stv. Leiterin Nationale Koordination Swisstransplant, Gemeinderätin;Rüeggisberg;1'986;
3;Zaugg;Bernhard;1970;Geschäftsführer B2 Building Together GmbH, Mitglied Gemeindeparlament;Schliern b. Köniz;1'868;
4;Kurt;Hansjörg;1967;Lehrer, Gemeinderat;Konolfingen;1'815;
5;Blatt;Dieter;1962;Primarlehrer, Mitglied Gemeindeparlament;Münsingen;1'738;
6;Hofer;Christine;1970;Gemeindepräsidentin, Familienfrau;Grosshöchstetten;1'696;
7;Gerber;Angelika;1980;Landwirtin, Familienfrau;Biglen;1'627;
8;Grimm-Arnold;Susanne;1969;Lehrerin, Gemeinderätin;Belp;1'627;
9;Niederhauser-Streiff;Katja;1985;dipl. Pflegefachfrau Onkologie, Mitglied Gemeindeparlament;Oberwangen b. Bern;1'489;
10;Aeberli-Hayoz;Claudine;1968;Coach, Organisationsberaterin;Kehrsatz;1'409;
11;Tschan;Roland;1974;Metzger, LKW Chauffeur;Oberthal;1'396;
12;Oetliker;Andreas;1973;Schulleiter, Lehrer;Grosshöchstetten;1'385;
13;Müller;Matthias;1969;Ökonom lic.rer.pol., Mitglied Gemeindeparlament;Köniz;1'378;
14;Hofer;Simon;1976;dipl.Ing. FH Informatik und Telekommunikation, Elektromechaniker;Mühlethurnen;1'376;
15;Sannwald-Würsten;Beat;1962;Projektleiter Entwicklungszusammenarbeit;Rubigen;1'362;
16;Schmutz;Hanspeter;1953;Journalist, Gemeinderat;Oberdiessbach;1'346;
17;Iseli;Christoph;1972;Chef Werkhof, Gemeinderat;Zäziwil;1'337;
18;Steinacher;Denise;1979;Lehrperson, Informatikverantwortliche der Schule;Liebefeld;1'336;
19;Rebetez;Daniel;1956;Fachbereichsleiter, Gemeinderat;Schwarzenburg;1'291;
20;Hari-Losenegger;Jasmine;1989;Koch, Ernährungsberaterin;Aeschlen b. O.;1'270;

Liste;10;Evangelische Volkspartei Zukunft
Kürzel / Sigle;EVP Zukunft;
Sitze / Sièges;0;
Kandidatenstimmen /Total des suffrages nominatifs;7388;
Zusatzstimmen / Suffrages complémentaires;469;
Parteistimmen / Total des suffrages de parti;7857;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Stimmen haben erhalten/Ont obtenu des suffrages
1;Locher;Patrik;1989;Gymnasiallehrer, Chemiker M.Sc;Liebefeld;682;
2;Liechti;Andreas;1988;Sozialpädagoge HF;Kaufdorf;465;
3;Baumann;Simon;1988;Software Entwickler;Belp;428;
4;Kopp-Gfeller;Lorana;1985;Lehrperson Kindergarten und Primarschule;Grosshöchstetten;422;
5;Jordi;Gabriel;1980;Unternehmer;Kehrsatz;417;
