"Wahlkreis","Gemeinde_Nr","Storyboard","Text_de"
"Mittelland-Nord",664,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",665,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",666,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",667,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",668,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",669,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",670,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Nord",671,,"Der Wahlkreis Mittelland-Nord ist noch nicht ausgezählt"
"Mittelland-Süd",355,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",357,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",602,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",603,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",605,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",606,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",607,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",608,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",609,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",610,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",611,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",612,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",613,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",614,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",615,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",616,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",617,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",619,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",620,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",622,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",623,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",626,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",628,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",629,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",632,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",852,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",853,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",855,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",861,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",866,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",868,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",869,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",870,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",872,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",873,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",874,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",876,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",877,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",879,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",880,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",881,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",884,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",888,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Mittelland-Süd",889,,"Der Wahlkreis Mittelland-Süd ist noch nicht ausgezählt"
"Oberaargau",321,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",322,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",323,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",324,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",325,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",326,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",329,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",331,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",332,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",333,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",335,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",336,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",337,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",338,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",339,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",340,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",341,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",342,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",344,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",345,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",408,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",953,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",954,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",959,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",960,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",971,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",972,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",973,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",975,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",976,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",977,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",979,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",980,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",981,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",982,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",983,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",985,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",987,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",988,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",989,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",990,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",991,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",992,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",993,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",995,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberaargau",996,,"Der Wahlkreis Oberaargau ist noch nicht ausgezählt"
"Oberland",561,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",562,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",563,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",564,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",565,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",566,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",567,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",571,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",572,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",573,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
